ID,sex,race,educ,yob,hhincome2021,parent_edu
625,male,hispanic,None,1982,12850,less than HS
627,male,nonblacknonhispanic,AA,1982,55000,BA or more
628,male,nonblacknonhispanic,BA,1982,56136,BA or more
629,female,nonblacknonhispanic,HS,1984,85000,BA or more
630,male,nonblacknonhispanic,HS,1981,178720,Some college
632,female,nonblacknonhispanic,MA,1983,163750,Some college
633,female,nonblacknonhispanic,MA,1983,246000,Some college
634,female,nonblacknonhispanic,BA,1980,113750,Some college
635,female,nonblacknonhispanic,HS,1981,88500,BA or more
637,female,hispanic,BA,1981,180014,Some college
638,male,nonblacknonhispanic,BA,1984,190000,HS
639,female,nonblacknonhispanic,HS,1981,599728,BA or more
640,male,nonblacknonhispanic,HS,1982,245000,BA or more
641,female,nonblacknonhispanic,BA,1980,100000,BA or more
642,male,nonblacknonhispanic,MA,1980,110000,Some college
643,male,nonblacknonhispanic,BA,1982,125000,Some college
647,male,nonblacknonhispanic,BA,1984,60000,BA or more
648,male,nonblacknonhispanic,HS,1981,283000,Some college
649,male,nonblacknonhispanic,MA,1982,226500,Some college
650,female,nonblacknonhispanic,BA,1984,52000,Some college
652,female,nonblacknonhispanic,HS,1983,55257,HS
653,male,nonblacknonhispanic,HS,1983,50,BA or more
658,female,hispanic,HS,1984,98000,less than HS
660,female,hispanic,None,1982,94000,Some college
661,male,hispanic,HS,1982,65000,less than HS
662,male,hispanic,GED,1980,63000,Some college
663,male,hispanic,HS,1982,174000,Some college
664,male,black,HS,1983,84296,HS
666,female,nonblacknonhispanic,BA,1981,225000,Some college
667,female,nonblacknonhispanic,BA,1982,215000,Some college
668,female,nonblacknonhispanic,MA,1984,217000,Some college
669,male,black,HS,1983,92000,Some college
673,male,black,BA,1982,103000,BA or more
674,female,black,AA,1983,72000,BA or more
676,female,black,MA,1984,192914,HS
677,female,black,HS,1983,10000,HS
679,female,black,GED,1982,76296,HS
681,female,black,HS,1984,22343,BA or more
682,female,black,MA,1980,60000,BA or more
683,male,black,BA,1983,37429,BA or more
684,female,black,HS,1984,39206,HS
685,male,black,HS,1983,37500,Some college
686,female,nonblacknonhispanic,AA,1982,44432,Some college
687,male,nonblacknonhispanic,GED,1983,158000,Some college
688,male,hispanic,HS,1982,0,Some college
689,female,hispanic,HS,1983,91000,less than HS
690,male,hispanic,GED,1980,95000,less than HS
691,male,hispanic,GED,1982,78000,less than HS
692,male,hispanic,None,1983,135000,less than HS
693,female,nonblacknonhispanic,HS,1984,84293,HS
694,male,hispanic,HS,1980,60000,HS
